Year;Adana-1;Adiyaman-2;Afyonkarahisar-3;Aksaray-68;Amasya-5;Ankara-6;Antalya-7;Ardahan-75;Artvin-8;Aydin-9;Agri-4;Balikesir-10;Bartin-74;Batman-72;Bayburt-69;Bilecik-11;Bingol-12;Bitlis-13;Bolu-14;Burdur-15;Bursa-16;Denizli-20;Diyarbakir-21;Duzce-81;Edirne-22;Elazig-23;Erzincan-24;Erzurum-25;Eskisehir-26;Gaziantep-27;Giresun-28;Gumushane-29;Hakkari-30;Hatay-31;Isparta-32;Igdir-76;Kahramanmaras-46;Karabuk-78;Karaman-70;Kars-36;Kastamonu-37;Kayseri-38;Kilis-79;Kocaeli-41;Konya-42;Kutahya-43;Kirklareli-39;Kirikkale-71;Kirsehir-40;Malatya-44;Manisa-45;Mardin-47;Mersin-33;Mugla-48;Mus-49;Nevsehir-50;Nigde-51;Ordu-52;Osmaniye-80;Rize-53;Sakarya-54;Samsun-55;Siirt-56;Sinop-57;Sivas-58;Tekirdag-59;Tokat-60;Trabzon-61;Tunceli-62;Usak-64;Van-65;Yalova-77;Yozgat-66;Zonguldak-67;Canakkale-17;Cankiri-18;Corum-19;Istanbul-34;Izmir-35;Sanliurfa-63;Sirnak-73
2001;2955;506;1351;915;320;7870;2907;55;117;1693;82;1725;362;68;44;148;133;23;292;424;2754;1692;312;354;484;545;271;304;1235;1620;529;149;15;1605;550;247;1120;295;408;117;352;1614;98;1431;3034;768;430;427;632;575;1820;155;2511;1093;64;650;325;667;392;212;978;1421;33;319;770;721;580;634;96;1022;78;324;993;1279;500;180;829;18625;8200;518;48
2002;2926;552;1377;1027;320;7973;3210;51;160;1706;78;1707;341;71;83;184;154;23;294;398;2748;1805;387;451;498;659;267;362;1203;1757;501;148;12;1556;577;292;1127;313;362;119;365;1594;110;1543;2802;737;419;395;628;600;1664;192;2533;1266;68;742;370;778;469;264;1007;1547;35;322;841;837;629;762;84;935;98;273;1045;1408;577;204;847;19751;8104;656;43
2003;2922;488;1368;903;350;7389;3049;58;125;1626;90;1870;347;71;59;199;152;44;335;429;2891;1801;461;435;459;610;240;328;1184;1806;583;123;28;1627;581;301;1038;326;342;137;346;1524;117;1552;2859;805;440;467;581;656;1763;209;2416;1367;88;579;402;759;483;224;966;1530;37;269;799;914;655;687;96;796;124;279;957;1576;597;198;796;18163;7598;729;59
2004;2719;457;1215;740;374;7327;2941;57;150;1571;101;1856;355;87;44;171;153;42;310;372;2664;1780;466;368;566;582;211;314;1079;1580;563;97;20;1558;559;218;1215;303;456;138;337;1447;104;1477;2910;682;367;491;508;597;1659;194;2511;1302;67;564;317;759;494;221;912;1460;38;260;751;1089;595;645;89;738;116;229;868;1214;527;168;793;18870;8033;789;51
2005;2538;438;1076;806;377;8232;3206;52;123;1609;101;1903;312;110;30;179;141;34;276;350;3047;1965;511;369;554;595;210;313;1195;1704;400;89;19;1575;593;222;1167;290;340;197;331;1631;93;1881;2754;695;444;515;498;610;1694;205;2575;1497;75;505;388;709;399;192;1028;1433;50;295;726;1039;544;566;84;746;115;402;761;1101;568;182;727;21124;8647;774;44
2006;2629;387;948;813;312;8132;3517;43;132;1617;107;1774;220;94;66;218;158;34;315;368;3049;1800;445;429;529;574;201;319;1274;1553;432;86;26;1439;493;211;1178;286;317;125;353;1576;94;1604;2833;608;482;494;463;651;1710;206;2313;1538;63;436;307;673;350;186;1034;1341;46;251;539;996;517;494;108;677;164;324;692;1007;559;167;627;20679;8820;803;54
2007;2862;419;912;716;342;8202;3686;35;127;1669;126;1829;262;86;28;240;137;52;283;333;3200;1749;458;315;527;493;215;336;1358;1509;505;88;30;1496;501;221;1109;280;298;126;294;1664;75;1766;2637;624;490;416;444;716;1855;186;2462;1478;56;472;394;655;443;199;1028;1385;28;232;610;1034;539;534;114;668;167;322;684;1106;627;179;651;20323;8563;877;62
2008;3042;417;932;989;361;8894;3905;49;126;1851;114;1763;235;112;49;228;135;38;297;373;3298;1893;538;437;579;578;213;338;1378;1621;477;96;30;1691;484;211;1184;282;307;130;360;1745;107;2205;2712;735;502;528;400;678;1869;209;2747;1614;76;472;351;654;480;210;1026;1364;44;279;541;1195;564;552;88;807;161;325;627;1176;664;166;704;20703;9531;743;74
2009;3546;504;961;996;377;9998;4870;59;148;2087;116;2042;342;136;47;272;156;55;347;424;3679;2155;632;422;702;681;276;407;1524;1942;469;92;37;1745;563;220;1412;360;428;142;438;1945;106;2450;3186;811;501;605;390;800;2234;227;2961;1870;90;669;401;736;520;267;1274;1531;62;288;649;1477;670;681;95;727;239;386;687;1173;745;191;797;24492;10475;877;68
2010;3445;435;1133;897;379;10260;5290;47;155;2129;114;2194;297;115;44;317;156;66;371;426;4236;2214;679;532;674;608;237;434;1595;2228;532;99;36;2002;541;242;1492;327;479;165;431;2092;106;2608;3318;876;584;627;444;807;2239;289;3079;2033;70;627;484;701;603;238;1282;1794;60;291;654;1486;643;596;125;771;267;382;681;1023;802;207;834;24952;10986;784;70
2011;3841;422;1010;777;386;10491;5621;57;157;2104;151;2259;293;126;46;327;83;50;365;416;4660;2101;637;535;669;532;217;448;1573;2283;492;52;30;1917;633;180;1465;401;436;150;496;1954;110;2495;3476;909;577;582;420;776;2156;271;3246;2008;72;629;476;781;589;257;1254;1751;64;236;656;1524;654;624;94;734;244;414;623;946;882;209;769;25884;11149;660;73
2012;3878;467;927;765;393;11083;5347;71;131;2064;160;2305;264;160;45;325;132;85;435;402;4993;2245;774;520;562;664;272;463;1580;2336;493;91;35;2035;647;191;1426;361;420;116;449;2307;147;2532;3707;932;562;514;486;831;2359;336;3187;2163;91;572;485;860;703;254;1315;1873;85;263;626;1461;628;640;128;809;210;385;685;995;814;205;649;26825;10868;638;83
2013;4057;576;907;731;462;11221;5712;75;172;2128;191;2274;276;208;43;337;135;79;450;415;4835;2250;773;673;603;670;266;450;1656;2424;482;104;39;2094;655;219;1313;348;416;158;384;2291;138;2934;3587;855;564;557;341;856;2315;287;3400;2149;111;501;556;847;655;287;1487;1728;89;281;622;1648;614;613;120;743;287;356;667;987;727;204;857;27024;10789;879;91
2014;4109;489;967;770;447;11359;6212;64;171;2142;212;2352;273;250;64;342;134;76;400;383;5141;2238;798;727;722;682;265;453;1729;2524;505;91;31;2126;704;199;1478;376;482;145;397;2618;144;2818;3507;836;640;607;375;962;2408;315;3558;2198;105;538;461;818;598;302;1492;1899;84;300;740;1830;610;678;110;793;338;374;690;1129;877;182;748;28907;11069;1123;103
2015;4329;587;981;802;434;10950;6210;52;140;2488;200;2421;267;230;53;312;122;77;366;473;5216;2311;764;782;735;600;223;541;1684;2574;570;81;47;2209;628;176;1474;388;416;143;366;2611;156;2956;3533;855;647;541;442;881;2622;318;3681;2302;103;504;544;889;578;346;1504;1867;85;333;808;1909;637;679;133;744;335;434;649;1063;966;212;875;28023;11481;1056;106
2016;3928;484;978;816;409;10590;5687;53;149;2228;189;2261;274;159;52;334;110;97;372;383;5356;2250;719;523;645;511;318;420;1679;2187;501;77;40;2125;582;232;1475;326;391;126;384;2688;160;2966;3454;786;629;450;378;1056;2348;288;3518;2338;101;477;566;832;738;292;1562;1794;75;271;683;1862;647;625;136;675;327;368;554;990;999;197;675;27121;11049;996;73
2017;3803;480;951;780;377;10748;5899;46;130;2468;172;2309;261;196;52;310;118;71;382;369;5242;2193;838;666;649;539;270;402;1847;2458;577;84;53;2261;589;197;1511;317;442;139;395;2603;181;3127;3525;845;654;508;307;865;2202;343;3715;2338;102;535;476;839;574;315;1538;1795;108;301;627;1859;729;697;128;746;367;408;480;934;947;230;716;28175;10939;932;110
2018;4394;537;1081;776;470;11696;6454;64;199;2521;250;2654;317;235;46;378;156;118;502;422;5725;2250;1000;659;747;633;352;508;1850;2976;573;87;45;2511;736;244;1798;399;420;225;490;2782;163;3447;3717;996;764;579;365;1005;2683;381;4165;2636;137;544;580;956;844;342;1525;2128;103;332;767;2250;760;763;154;777;405;511;612;1170;939;294;735;30336;11994;1166;143
