"","2018"
"Adana.1",4394
"Adiyaman.2",537
"Afyonkarahisar.3",1081
"Aksaray.68",776
"Amasya.5",470
"Ankara.6",11696
"Antalya.7",6454
"Ardahan.75",64
"Artvin.8",199
"Aydin.9",2521
"Agri.4",250
"Balikesir.10",2654
"Bartin.74",317
"Batman.72",235
"Bayburt.69",46
"Bilecik.11",378
"Bingol.12",156
"Bitlis.13",118
"Bolu.14",502
"Burdur.15",422
"Bursa.16",5725
"Denizli.20",2250
"Diyarbakir.21",1000
"Duzce.81",659
"Edirne.22",747
"Elazig.23",633
"Erzincan.24",352
"Erzurum.25",508
"Eskisehir.26",1850
"Gaziantep.27",2976
"Giresun.28",573
"Gumushane.29",87
"Hakkari.30",45
"Hatay.31",2511
"Isparta.32",736
"Igdir.76",244
"Kahramanmaras.46",1798
"Karabuk.78",399
"Karaman.70",420
"Kars.36",225
"Kastamonu.37",490
"Kayseri.38",2782
"Kilis.79",163
"Kocaeli.41",3447
"Konya.42",3717
"Kutahya.43",996
"Kirklareli.39",764
"Kirikkale.71",579
"Kirsehir.40",365
"Malatya.44",1005
"Manisa.45",2683
"Mardin.47",381
"Mersin.33",4165
"Mugla.48",2636
"Mus.49",137
"Nevsehir.50",544
"Nigde.51",580
"Ordu.52",956
"Osmaniye.80",844
"Rize.53",342
"Sakarya.54",1525
"Samsun.55",2128
"Siirt.56",103
"Sinop.57",332
"Sivas.58",767
"Tekirdag.59",2250
"Tokat.60",760
"Trabzon.61",763
"Tunceli.62",154
"Usak.64",777
"Van.65",405
"Yalova.77",511
"Yozgat.66",612
"Zonguldak.67",1170
"Canakkale.17",939
"Cankiri.18",294
"Corum.19",735
"Istanbul.34",30336
"Izmir.35",11994
"Sanliurfa.63",1166
"Sirnak.73",143
